"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"10","D'Marcus Simonds","SG","Buford, GABuford High School","6'4''","190","82","Georgia St","dmarcus-simonds","https://www.sports-reference.com/cbb/players/dmarcus-simonds-1.html"
"11","Jordan Harris","SG","Donalsonville, GASeminole County Middle-High School","6'5''","175","80","Georgia","jordan-harris","https://www.sports-reference.com/cbb/players/jordan-harris-1.html"
"12","Anfernee McLemore","PF","Sylvester, GAWorth County High School","6'8''","210","80","Auburn","anfernee-mclemore","https://www.sports-reference.com/cbb/players/anfernee-mclemore-1.html"
"13","Kamar Baldwin","SG","Winder, GAApalachee High School","6'2''","175","78","Butler","kamar-baldwin","https://www.sports-reference.com/cbb/players/kamar-baldwin-1.html"
"14","Aaron Augustin","PG","Suwanee, GAMiller Grove High School","5'11''","170","77","SF Austin","aaron-augustin","https://www.sports-reference.com/cbb/players/aaron-augustin-1.html"
"15","Raquan Wilkins","SF","Atlanta, GAWestlake High School","6'5''","180","76","E Carolina","raquan-wilkins","https://www.sports-reference.com/cbb/players/raquan-wilkins-1.html"
"16","Davion Thomas","PF","Columbus, GANorthside High School","6'8''","200","75","Mid Tennessee","davion-thomas","https://www.sports-reference.com/cbb/players/davion-thomas-1.html"
"17","Darnell Rogers","PG","Snellville, GAShiloh High School","5'3''","145","73","unknown","darnell-rogers","https://www.sports-reference.com/cbb/players/darnell-rogers-1.html"
"18","Martins Igbanu","C","Marietta, GACovenant Christian Ministries Academy","6'8''","200","70","Tulsa","martins-igbanu","https://www.sports-reference.com/cbb/players/martins-igbanu-1.html"
"1","Connor Harding","SG","Pocatello, IDHighland High School","6'5''","175","80","BYU","connor-harding","https://www.sports-reference.com/cbb/players/connor-harding-1.html"
"1","Charlie Moore","PG","Chicago, ILMorgan Park High School","5'11''","160","84","California","charlie-moore","https://www.sports-reference.com/cbb/players/charlie-moore-1.html"
"2","Zach Norvell","SG","Chicago, ILSimeon Career Academy","6'4''","180","82","Gonzaga","zach-norvell","https://www.sports-reference.com/cbb/players/zach-norvell-1.html"
"3","Barret Benson","C","Hinsdale, ILHinsdale South High School","6'10''","240","79","Nrthwestrn","barret-benson","https://www.sports-reference.com/cbb/players/barret-benson-1.html"
"4","Roosevelt Smart","PG","Palatine, ILSunrise Christian Academy","6'2''","170","79","unknown","roosevelt-smart","https://www.sports-reference.com/cbb/players/roosevelt-smart-1.html"
"5","Rapolas Ivanauskas","PF","Barrington, ILBrewster Academy","6'9''","208","79","Nrthwestrn","rapolasivanauskas","https://www.sports-reference.com/cbb/players/rapolasivanauskas-1.html"
"6","Isaiah Roby","SF","Dixon, ILDixon High School","6'8''","205","78","Nebraska","isaiah-roby","https://www.sports-reference.com/cbb/players/isaiah-roby-1.html"
"7","K.J. Santos","SF","Geneva, ILSunrise Christian Academy","6'7''","185","77","UIC","kj-santos","https://www.sports-reference.com/cbb/players/kj-santos-1.html"
"8","Nick Rakocevic","C","Chicago, ILSaint Joseph High School","6'11''","210","77","USC","nick-rakocevic","https://www.sports-reference.com/cbb/players/nick-rakocevic-1.html"
"9","Loren Jackson","PG","Chicago, ILVictory Rock Prep","5'7''","130","76","Long Beach St","loren-jackson","https://www.sports-reference.com/cbb/players/loren-jackson-1.html"
"10","Ben Coupet","SF","Chicago, ILSimeon Career Academy","6'7''","185","76","UNLV","ben-coupet","https://www.sports-reference.com/cbb/players/ben-coupet-1.html"
"11","Jerry Myles","SF","Moline, ILUnited Township High School","6'5''","","76","unknown","jerry-myles","https://www.sports-reference.com/cbb/players/jerry-myles-1.html"
"12","Skyler Nash","SF","Chicago, ILWhitney Young High School","6'5''","210","73","unknown","skyler-nash","https://www.sports-reference.com/cbb/players/skyler-nash-1.html"
"1","Kyle Guy","SG","Indianapolis, INLawrence Central High School","6'2''","170","92","Virginia","kyle-guy","https://www.sports-reference.com/cbb/players/kyle-guy-1.html"
"2","Joey Brunk","C","Indianapolis, INSouthport High School","6'10''","240","82","Butler","joey-brunk","https://www.sports-reference.com/cbb/players/joey-brunk-1.html"
"3","C.J. Walker","PG","Indianapolis, INArsenal Technical High School","6'0''","170","81","unknown","cj-walker","https://www.sports-reference.com/cbb/players/cj-walker-1.html"
"4","Kyle Mallers","SF","Fort Wayne, INCarroll High School","6'7''","190","78","Ball State","kyle-mallers","https://www.sports-reference.com/cbb/players/kyle-mallers-1.html"
"5","Brachen Hazen","PF","Fort Wayne, INColumbia City High School","6'8''","190","77","Arkansas","brachen-hazen","https://www.sports-reference.com/cbb/players/brachen-hazen-1.html"
"6","Eron Gordon","SG","Indianapolis, INCathedral High School","6'3''","175","76","Seton Hall","eron-gordon","https://www.sports-reference.com/cbb/players/eron-gordon-1.html"
"7","Damien Jefferson","SF","East Chicago, INEast Chicago Central High School","6'5''","180","76","New Mexico","damien-jefferson","https://www.sports-reference.com/cbb/players/damien-jefferson-1.html"
"8","Brandon Cyrus","SG","La Porte, INLa Lumiere School","6'4''","190","75","DePaul","brandon-cyrus","https://www.sports-reference.com/cbb/players/brandon-cyrus-1.html"
"9","Grant Gelon","SG","Crown Point, INCrown Point High School","6'5''","","75","Indiana","grant-gelon","https://www.sports-reference.com/cbb/players/grant-gelon-1.html"
"10","Reggie Jones","SF","Marion, INMarion High School","6'5''","180","73","W Michigan","reggie-jones","https://www.sports-reference.com/cbb/players/reggie-jones-1.html"
"1","Jordan Bohannon","PG","Marion, IALinn-Mar High School","6'1''","170","80","Iowa","jordan-bohannon","https://www.sports-reference.com/cbb/players/jordan-bohannon-1.html"
"2","Cordell Pemsl","PF","Dubuque, IAWahlert Catholic High School","6'7''","230","77","Iowa","cordell-pemsl","https://www.sports-reference.com/cbb/players/cordell-pemsl-1.html"
"1","Eli Wright","SG","Owensboro, KY22ft Academy","6'5''","190","83","Miss. St","eli-wright","https://www.sports-reference.com/cbb/players/eli-wright-1.html"
"2","Quentin Goodin","SG","Campbellsville, KYTaylor County High School","6'3''","190","82","Xavier","quentin-goodin","https://www.sports-reference.com/cbb/players/quentin-goodin-1.html"
"3","Carson Williams","SF","Owenton, KYOwen County High School","6'5''","185","73","N Kentucky","carson-williams","https://www.sports-reference.com/cbb/players/carson-williams-1.html"
"1","Robert Williams","PF","Vivian, LANorth Caddo High School","6'8''","220","86","Texas A&M","robert-williams","https://www.sports-reference.com/cbb/players/robert-williams-1.html"
"2","DeJon Jarreau","SG","New Orleans, LAMcDonogh 35 High School","6'5''","170","84","UMass","dejon-jarreau","https://www.sports-reference.com/cbb/players/dejon-jarreau-1.html"
"3","Mark Vital","SF","Lake Charles, LAAdvanced Prep International","6'6''","220","83","Baylor","mark-vital","https://www.sports-reference.com/cbb/players/mark-vital-1.html"
"4","Cameron Lard","PF","Natchitoches, LALandry-Walker High School","6'9''","210","80","Iowa State","cameron-lard","https://www.sports-reference.com/cbb/players/cameron-lard-1.html"
"5","Lamar Peters","PG","New Orleans, LAL. B. Landry Senior High School","6'1''","165","80","Miss. St","lamar-peters","https://www.sports-reference.com/cbb/players/lamar-peters-1.html"
"6","Skylar Mays","PG","Baton Rouge, LAFindlay College Prep","6'3''","180","80","LSU","skylar-mays","https://www.sports-reference.com/cbb/players/skylar-mays-1.html"
"7","Brison Gresham","C","New Orleans, LAMcDonogh 35 High School","6'9''","210","78","UMass","brison-gresham","https://www.sports-reference.com/cbb/players/brison-gresham-1.html"
"8","Wayde Sims","PF","Baton Rouge, LAUniversity Laboratory School","6'6''","210","77","LSU","wayde-sims","https://www.sports-reference.com/cbb/players/wayde-sims-1.html"
"9","Mike Layssard Jr.","C","Shreveport, LANorthwood Senior High School","6'9''","280","77","Rhode Island","mike-layssardjr","https://www.sports-reference.com/cbb/players/mike-layssardjr-1.html"
"10","Jalen Johnson","PF","New Orleans, LAUniversity Laboratory School","6'6''","","77","Saint Louis","jalen-johnson","https://www.sports-reference.com/cbb/players/jalen-johnson-1.html"
"11","Malik Crowfield","SG","Laplace, LARiverside Academy","6'4''","190","76","VCU","malik-crowfield","https://www.sports-reference.com/cbb/players/malik-crowfield-1.html"
"1","Vitaliy Shibel","PF","Lee, MELee Academy","6'9''","215","74","Arizona St","vitaliy-shibel","https://www.sports-reference.com/cbb/players/vitaliy-shibel-1.html"
"2","Sergio El Darwich","SG","Lee, MELee Academy","6'4''","","60","S Dakota St","sergio-el-darwich","https://www.sports-reference.com/cbb/players/sergio-el-darwich-1.html"
"3","Nedeljko Prijovic","SF","Lee, MELee Academy","6'7''","210","58","Texas State","nedeljko-prijovic","https://www.sports-reference.com/cbb/players/nedeljko-prijovic-1.html"
"4","Andrew Fleming","PF","South Paris, MEOxford Hills High School","6'7''","210","57","Maine","andrew-fleming","https://www.sports-reference.com/cbb/players/andrew-fleming-1.html"
"1","Markelle Fultz","PG","Upper Marlboro, MDDeMatha Catholic High School","6'4''","190","96","Washington","markelle-fultz","https://www.sports-reference.com/cbb/players/markelle-fultz-1.html"
"2","Anthony Cowan","PG","Olney, MDSaint Johns College High School","5'11''","165","84","Maryland","anthony-cowan","https://www.sports-reference.com/cbb/players/anthony-cowan-1.html"
"3","Kodye Pugh","SF","Baltimore, MDBlair Academy","6'7''","185","81","Stanford","kodye-pugh","https://www.sports-reference.com/cbb/players/kodye-pugh-1.html"
"4","Joe Hampton","PF","Hyattsville, MDOak Hill Academy","6'6''","265","80","Penn State","joe-hampton","https://www.sports-reference.com/cbb/players/joe-hampton-1.html"
"5","Corey Manigault","C","Suitland, MDPaul VI High School","6'8''","225","79","unknown","corey-manigault","https://www.sports-reference.com/cbb/players/corey-manigault-1.html"
"6","A.J. Wilson","PF","Lanham, MDElev8 Basketball Academy","6'6''","180","74","George Mason","aj-wilson","https://www.sports-reference.com/cbb/players/aj-wilson-1.html"
"7","Michael Tertsea","C","NA, NAThe John Carroll School","6'9''","220","74","Rhode Island","michael-tertsea","https://www.sports-reference.com/cbb/players/michael-tertsea-1.html"
"8","Justin Gorham","PF","Columbia, MDCalvert Hall College High School","6'7''","215","72","Towson","justin-gorham","https://www.sports-reference.com/cbb/players/justin-gorham-1.html"
"9","Christian Matthews","SF","Clinton, MDNational Christian Academy","6'5''","188","71","Georgia Tech","christian-matthews","https://www.sports-reference.com/cbb/players/christian-matthews-1.html"
"10","Daquan Bracey","PG","Baltimore, MDSt. Frances Academy","5'8''","170","68","Louisiana Tech","daquan-bracey","https://www.sports-reference.com/cbb/players/daquan-bracey-1.html"
"11","Bruce Moore","PF","Randallstown, MDMcDonough High School","6'7''","","66","Bucknell","bruce-moore","https://www.sports-reference.com/cbb/players/bruce-moore-1.html"
"12","Nate Darling","SG","Hyattsville, MDDeMatha Catholic High School","6'3''","170","65","UAB","nate-darling","https://www.sports-reference.com/cbb/players/nate-darling-1.html"
"13","Tyler Stewart","SF","Silver Spring, MDSt. Andrews Episcopal School","6'6''","","63","Binghamton","tyler-stewart","https://www.sports-reference.com/cbb/players/tyler-stewart-1.html"
"14","David Erebor","C","Baltimore, MDOur Lady of Mt. Carmel High School","6'9''","215","61","Brown","david-erebor","https://www.sports-reference.com/cbb/players/david-erebor-1.html"
"15","Craig LeCesne","SF","Hagerstown, MDSt. James School","6'8''","","60","Pepperdine","craig-lecesne","https://www.sports-reference.com/cbb/players/craig-lecesne-1.html"
"16","Andrew Kostecka","SF","Germantown, MDClarksburg High School","6'4''","","59","Loyola (MD)","andrew-kostecka","https://www.sports-reference.com/cbb/players/andrew-kostecka-1.html"
"17","Mantvydas Urmilevicius","PF","Bel Air, MDThe John Carroll School","6'8''","205","59","Bryant","mantvydas-urmilevicius","https://www.sports-reference.com/cbb/players/mantvydas-urmilevicius-1.html"
"18","Everett Winchester","SG","Baltimore, MDGilman School","6'6''","190","59","Wright St","everett-winchester","https://www.sports-reference.com/cbb/players/everett-winchester-1.html"
"19","Ameka Akaya","SF","Hagerstown, MDSt. Maria Goretti High School","6'4''","190","59","Air Force","ameka-akaya","https://www.sports-reference.com/cbb/players/ameka-akaya-1.html"
"20","Anthony Tarke","PF","Baltimore, MDCoastal Academy","6'6''","","59","NJIT","anthony-tarke","https://www.sports-reference.com/cbb/players/anthony-tarke-1.html"
"21","Nehemiah Mack","SG","Baltimore, MDMount Zion Baptist Christian School","6'0''","","58","Manhattan","nehemiah-mack","https://www.sports-reference.com/cbb/players/nehemiah-mack-1.html"
"22","Deivydas Kuzavas","C","Leonardtown, MDSaint Mary's Ryken","6'9''","","58","St. Francis (PA)","deivydas-kuzavas","https://www.sports-reference.com/cbb/players/deivydas-kuzavas-1.html"
