"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height","Weight","Rating.espn","School","player.id","bball.ref.link.espn","Previous.National.Ranking","Name.247","Hometown","Position.247","Height.Weight","Rating.247","All Ratings","National.Ranking.247","Position.Ranking","State.Ranking","bball.ref.link.247","Name","Position","Height.Weight","Hometown","High.School","College"
28,"Jalek Felton","SG","Mullins, SCGray Collegiate Academy","6'3''",180,91,"UNC","jalek-felton","https://www.sports-reference.com/cbb/players/jalek-felton-1.html",38,"Jalek Felton","Gray Academy (Mullins, SC)","CG","6-2 / 175",0.9887,"30 1 1",30,1,1,"https://www.sports-reference.com/cbb/players/jalek-felton-1.html","Jalek Felton","        Guard  ","6-3, 190lb (190cm, 86kg) ","   West Columbia, SC","   Gray Collegiate Academy","UNC"
29,"Malik Williams","PF","Fort Wayne, INR. Nelson Snider High School","6'11''",215,90,"Louisville","malik-williams","https://www.sports-reference.com/cbb/players/malik-williams-1.html",31,"Malik Williams","R Nelson Snider (Fort Wayne, IN)","C","7-0 / 200",0.9899,"27 3 4",27,3,4,"https://www.sports-reference.com/cbb/players/malik-williams-1.html","Malik Williams","        Forward  ","6-11, 215lb (211cm, 97kg) ","   Fort Wayne, IN","   R. Nelson Snider High School","Louisville"
30,"Charles O'Bannon Jr.","SF","Las Vegas, NVBishop Gorman High School","6'6''",200,90,"USC","charles-obannonjr","https://www.sports-reference.com/cbb/players/charles-obannonjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles O'Bannon, Jr.","        Guard  ","6-6, 210lb (198cm, 95kg) ","   Compton, CA","   Bishop Gorman High School","USC"
31,"Matt Coleman","PG","Norfolk, VAOak Hill Academy","6'1''",174,89,"Texas","matt-coleman","https://www.sports-reference.com/cbb/players/matt-coleman-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matt Coleman","        Guard  ","6-2, 180lb (188cm, 81kg) ","   Norfolk, VA","   Oak Hill Academy","Texas"
32,"Paul Scruggs","PG","Indianapolis, INProlific Prep","6'3''",190,89,"Xavier","paul-scruggs","https://www.sports-reference.com/cbb/players/paul-scruggs-1.html",32,"Paul Scruggs","Southport (Indianapolis, IN)","PG","6-4 / 200",0.9878,"34 7 5",34,7,5,"https://www.sports-reference.com/cbb/players/paul-scruggs-1.html","Paul Scruggs","        Guard  ","6-3, 207lb (190cm, 93kg) ","   Indianapolis, IN","   Prolific Prep","Xavier"
33,"Chaundee Brown","SG","Orlando, FLFirst Academy","6'5''",208,89,"Wake Forest","chaundee-brown","https://www.sports-reference.com/cbb/players/chaundee-brown-1.html",39,"Chaundee Brown","The First Academy (Orlando, FL)","SG","6-5 / 195",0.9863,"36 6 5",36,6,5,"https://www.sports-reference.com/cbb/players/chaundee-brown-1.html","Chaundee Brown","        Guard  ","6-5, 215lb (196cm, 97kg) ","   Orlando, FL","   Dr. Phillips High School","Wake Forest"
34,"Tremont Waters","PG","New Haven, CTNotre Dame High School","5'11''",165,89,"LSU","tremont-waters","https://www.sports-reference.com/cbb/players/tremont-waters-1.html",54,"Tremont Waters","Notre Dame (New Haven, CT)","PG","5-11 / 160",0.9842,"44 10 2",44,10,2,"https://www.sports-reference.com/cbb/players/tremont-waters-1.html","Tremont Waters","        Guard  ","5-11, 167lb (180cm, 75kg) ","   New Haven, CT","   Notre Dame High School","LSU"
35,"Shai Gilgeous-Alexander","PG","Hamilton, Ontario, CANHamilton Heights Christian Academy","6'5''",185,89,"Kentucky","shai-gilgeous-alexander","https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html",20,"Shai Gilgeous-Alexander","Hamilton Heights Christian Academy (Chattanooga, TN)","CG","6-6 / 175",0.9882,"31 2 1",31,2,1,"https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html","Shai Gilgeous-Alexander","        Guard  ","6-6, 180lb (198cm, 81kg) ","   Hamilton, Canada","   Hamilton Heights Christian Academy","Kentucky"
36,"Nick Weatherspoon","PG","Camden, MSVelma Jackson Magnet High School","6'2''",175,89,"Mississippi State","nick-weatherspoon","https://www.sports-reference.com/cbb/players/nick-weatherspoon-1.html",24,"Nick Weatherspoon","Velma Jackson (Camden, MS)","PG","6-2 / 173",0.9891,"29 6 1",29,6,1,"https://www.sports-reference.com/cbb/players/nick-weatherspoon-1.html","Nick Weatherspoon","        Guard  ","6-2, 195lb (188cm, 88kg) ","   Canton, MS","   Velma Jackson Magnet High School","Mississippi State"
37,"Brandon Randolph","SG","Yonkers, NYWesttown School","6'6''",180,89,"Arizona","brandon-randolph","https://www.sports-reference.com/cbb/players/brandon-randolph-1.html",27,"Brandon Randolph","Westtown School (Yonkers, NY)","SG","6-6 / 183",0.986,"38 8 4",38,8,4,"https://www.sports-reference.com/cbb/players/brandon-randolph-1.html","Brandon Randolph","        Guard  ","6-6, 175lb (198cm, 79kg) ","   Yonkers, NY","   Westtown School","Arizona"
