"Previous.National.Ranking","Name","Hometown","Position","Height.Weight","Rating","All Ratings","National.Ranking","Position.Ranking","State.Ranking","player.id","Season"
"11","Javin DeLaurier"," St. Anne's-Belfield School (Charlottesville, VA)  "," PF "," 6-9 / 215 ","95"," 39 11 3 ","39","11","3","javin-delaurier",2016
"19","Ted Kapita"," DME Academy (Melbourne, FL)  "," PF "," 6-8 / 240 ","95"," 84 19 7 ","84","19","7","ted-kapita",2016
"31","Killian Tillie"," INSEP Paris (Paris, FR)  "," PF "," 6-10 / 230 ","93"," 123 31 1 ","123","31","1","killian-tillie",2016
"18","Romello White"," Wheeler (MARIETTA, GA)  "," PF "," 6-8 / 215 ","92"," 76 18 5 ","76","18","5","romello-white",2016
"21","M.J. Cage"," Mater Dei (Santa Ana, CA)  "," PF "," 6-9 / 215 ","92"," 99 21 6 ","99","21","6","mj-cage",2016
"20","Troy Baxter"," The Rock School (Tallahassee, FL)  "," PF "," 6-7 / 185 ","92"," 93 20 8 ","93","20","8","troy-baxter",2016
"17","Tyler Cook"," Chaminade (Saint Louis, MO)  "," PF "," 6-8 / 240 ","92"," 72 17 2 ","72","17","2","tyler-cook",2016
"42","Brison Gresham"," McDonogh 35 (New Orleans, LA)  "," PF "," 6-9 / 210 ","92"," 172 42 7 ","172","42","7","brison-gresham",2016
"16","Robert Williams"," North Caddo (Oil City, LA)  "," PF "," 6-8 / 225 ","92"," 61 16 2 ","61","16","2","robert-williams",2016
"25","Sedee Keita"," Putnam Science Academy (Putnam, CT)  "," PF "," 6-9 / 225 ","91"," 111 25 2 ","111","25","2","sedee-keita",2016
"28","Mitch Lightfoot"," Gilbert Christian (Tucson, AZ)  "," PF "," 6-8 / 200 ","90"," 116 28 1 ","116","28","1","mitch-lightfoot",2016
"40","Jacob Larsen"," SISU (Copenhagen, DN)  "," PF "," 6-10 / 230 ","90"," 163 40 1 ","163","40","1","jacob-larsen",2016
"37","John Mooney"," Lake Brantley (Altamonte Springs, FL)  "," PF "," 6-9 / 240 ","90"," 146 37 10 ","146","37","10","john-mooney",2016
"36","Cameron Lard"," Natchitoches Central (Natchitoches, LA)  "," PF "," 6-9 / 215 ","90"," 143 36 6 ","143","36","6","cameron-lard",2016
"30","Clevon Brown"," Churchill (San Antonio, TX)  "," PF "," 6-8 / 215 ","89"," 122 30 11 ","122","30","11","clevon-brown",2016
"57","Solomon Young"," Sacramento (Sacramento, CA)  "," PF "," 6-6 / 215 ","89"," 232 57 23 ","232","57","23","solomon-young",2016
"22","Tyrique Jones"," Vermont Academy (Saxtons River, VT)  "," PF "," 6-7 / 235 ","89"," 105 22 2 ","105","22","2","tyrique-jones",2016
"32","Mamadou Diarra"," Putnam Science Academy (Putnam, CT)  "," PF "," 6-7 / 215 ","89"," 126 32 3 ","126","32","3","mamadou-diarra",2016
"26","Eric Curry"," Southwest Christian Academy (Little Rock, AR)  "," PF "," 6-8 / 210 ","89"," 114 26 2 ","114","26","2","eric-curry",2016
"27","Yoeli Childs"," Bingham (South Jordan, UT)  "," PF "," 6-7 / 220 ","89"," 115 27 4 ","115","27","4","yoeli-childs",2016
