"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height.espn","Weight.espn","Rating.espn","School","player.id.espn","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
9,"Brendan Newton","C","Roanoke, VAFaith Christian School","7'2''",200,70,"Liberty","brendan-newton","https://www.sports-reference.com/cbb/players/brendan-newton-1.html","https://www.sports-reference.com/cbb/players/brendan-newton-1.html","Brendan Newton","        Center  ","7-2, 235lb (218cm, 106kg) ","   Roanoke, VA","   Faith Christian School","Liberty"
11,"Travis Ingram","SF","Chesapeake, VAI. C. Norcom High School","6'3''",165,67,"Towson","travis-ingram","https://www.sports-reference.com/cbb/players/travis-ingram-1.html","https://www.sports-reference.com/cbb/players/travis-ingram-1.html","Travis Ingram","        Guard  ","6-3, 177lb (190cm, 80kg) ","   Suffolk, VA","   I.C. Norcom High School","Towson"
13,"Chyree Walker","SF","Fairfax, VABullis School","6'4''",190,65,"Delaware","chyree-walker","https://www.sports-reference.com/cbb/players/chyree-walker-1.html","https://www.sports-reference.com/cbb/players/chyree-walker-1.html","Chyree Walker","        Forward  ","6-5, 195lb (196cm, 88kg) ","   Fairfax, VA","   Bullis Prep High School","Delaware"
15,"K.J. Davis","SF","Portsmouth, VAI. C. Norcom High School","6'6''",NA,64,"East Carolina","kj-davis","https://www.sports-reference.com/cbb/players/kj-davis-1.html","https://www.sports-reference.com/cbb/players/kj-davis-1.html","K.J. Davis","        Guard  ","6-5, 200lb (196cm, 90kg) ","   Portsmouth, VA","   I.C. Norcom High School","East Carolina"
16,"Kyle Copeland","SG","Leesburg, VAPhillips Exeter Academy","6'5''",170,60,"Holy Cross","kyle-copeland","https://www.sports-reference.com/cbb/players/kyle-copeland-1.html","https://www.sports-reference.com/cbb/players/kyle-copeland-1.html","Kyle Copeland","        Guard  ","6-4, 175lb (193cm, 79kg) ","   Leesburg, VA","   Phillips Exeter Academy","Holy Cross"
18,"Mastadi Pitt","PG","Hampton, VAHampton High School","6'0''",NA,58,"Norfolk State","mastadi-pitt","https://www.sports-reference.com/cbb/players/mastadi-pitt-1.html","https://www.sports-reference.com/cbb/players/mastadi-pitt-1.html","Mastadi Pitt","        Guard  ","6-1, 210lb (185cm, 95kg) ","   Hampton, VA","   Hampton High School","Norfolk State"
19,"George Mawanda-Kalema","SG","Alexandria, VAEpiscopal High School","6'2''",170,57,"Brown","george-mawanda-kalema","https://www.sports-reference.com/cbb/players/george-mawanda-kalema-1.html","https://www.sports-reference.com/cbb/players/george-mawanda-kalema-1.html","George Mawanda-Kalema","        Guard  ","6-3, 180lb (190cm, 81kg) ","   Burke, VA","   Episcopal School","Brown"
1,"Michael Porter Jr.","SF","Seattle, WANathan Hale High School","6'10''",215,97,"Missouri","michael-porterjr","https://www.sports-reference.com/cbb/players/michael-porterjr-1.html","https://www.sports-reference.com/cbb/players/michael-porterjr-1.html","Michael Porter Jr.","        Forward  ","6-10, 215lb (208cm, 97kg) ","   Columbia, MO","   Nathan Hale High School","Missouri"
2,"Jontay Porter","PF","Seattle, WANathan Hale High School","6'10''",240,92,"Missouri","jontay-porter","https://www.sports-reference.com/cbb/players/jontay-porter-1.html","https://www.sports-reference.com/cbb/players/jontay-porter-1.html","Jontay Porter","        Forward  ","6-11, 240lb (211cm, 108kg) ","   Columbia, MO","   Nathan Hale High School","Missouri"
3,"Jaylen Nowell","SG","Seattle, WAGarfield High School","6'5''",191,86,"Washington","jaylen-nowell","https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html","https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html","Jaylen Nowell","        Guard  ","6-4, 200lb (193cm, 90kg) ","   Seattle, WA","   Garfield High School","Washington"
4,"Daejon Davis","SG","Seattle, WAGarfield High School","6'4''",175,86,"Stanford","daejon-davis","https://www.sports-reference.com/cbb/players/daejon-davis-1.html","https://www.sports-reference.com/cbb/players/daejon-davis-1.html","Daejon Davis","        Guard  ","6-3, 185lb (190cm, 83kg) ","   Seattle, WA","   Garfield High School","Stanford"
5,"Corey Kispert","PF","Edmonds, WAKing's High School","6'8''",210,82,"Gonzaga","corey-kispert","https://www.sports-reference.com/cbb/players/corey-kispert-1.html","https://www.sports-reference.com/cbb/players/corey-kispert-1.html","Corey Kispert","        Forward  ","6-6, 215lb (198cm, 97kg) ","   Edmonds, WA","   King's Way Christian School","Gonzaga"
7,"Xavier Smith","SG","Seattle, WAO'Dea High School","6'4''",175,72,"Oregon State","xavier-smith","https://www.sports-reference.com/cbb/players/xavier-smith-1.html","https://www.sports-reference.com/cbb/players/xavier-smith-2.html","Xavier Smith","        Guard  ","6-4, 180lb (193cm, 81kg) ","   Seattle, WA","   O'Dea High School","Schools: Oregon State and Idaho"
1,"Chase Johnson","PF","Ripley, WVHuntington Prep","6'8''",210,83,"Florida","chase-johnson","https://www.sports-reference.com/cbb/players/chase-johnson-1.html","https://www.sports-reference.com/cbb/players/chase-johnson-1.html","Chase Johnson","        Forward  ","6-9, 219lb (206cm, 99kg) ","   Ripley, WV","   Huntington Prep","Florida"
1,"Jordan Poole","SG","Milwaukee, WILa Lumiere School","6'5''",185,86,"Michigan","jordan-poole","https://www.sports-reference.com/cbb/players/jordan-poole-1.html","https://www.sports-reference.com/cbb/players/jordan-poole-1.html","Jordan Poole","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Milwaukee, WI","   La Lumiere School","Michigan"
2,"Terrence Lewis","SF","Milwaukee, WIRiverside University High School","6'5''",195,85,"Iowa State","terrence-lewis","https://www.sports-reference.com/cbb/players/terrence-lewis-1.html","https://www.sports-reference.com/cbb/players/terrence-lewis-2.html","Terrence Lewis","        Guard  ","6-6, 203lb (198cm, 92kg) ","   Milwaukee, WI","   Riverside High School","Iowa State"
3,"Kobe King","SG","La Crosse, WILa Crosse Central High School","6'2''",175,81,"Wisconsin","kobe-king","https://www.sports-reference.com/cbb/players/kobe-king-1.html","https://www.sports-reference.com/cbb/players/kobe-king-1.html","Kobe King","        Guard  ","6-4, 203lb (193cm, 92kg) ","   La Crosse, WI","   Central High School","Wisconsin"
