"","#","Name","GP","GS","MIN","MPG"
"264",5,"Justin Brown",3,3,74,24.7
"265",2,"Parker Boswell",1,1,29,29
"266",11,"Trevor Williams",1,0,5,5
"267",15,"Ronald Fortson",1,0,8,8
"268",22,"Jamison Floyd",1,1,29,29
"269",24,"Gordie Stewart",1,0,5,5
"270",42,"Bailey Defalco",1,0,3,3
"271",0,"Rayshaun Hammonds",1,1,26,26
"272",NA,"Kyle Sturdivant",1,1,29,29
"273",NA,"Andre Wesson",5,4,96,19.2
"274",NA,"Kaleb Wesson",4,3,109,27.2
"275",NA,"Jordan Humphrey",3,3,69,23
"276",NA,"Ennis Thomas",3,2,66,22
"277",NA,"Antoine Smith",2,0,36,18
"278",NA,"Daylan Haynie",2,1,48,24
"279",NA,"Cameron Caldwell",2,0,11,5.5
"280",NA,"Jelani Rogers",1,1,0,0
"281",NA,"Anthony Mills",1,1,17,17
"282",4,"Hafiz Turay",1,0,0,0
"283",NA,"Amidou Bamba",3,0,12,4
"284",NA,"Ty Graves",2,2,54,27
"285",NA,"Ben Robertson",2,0,11,5.5
"286",NA,"Michal Seals",2,1,28,14
"287",NA,"Jalen Seegars",2,2,47,23.5
"288",NA,"Michael Huiett",2,1,21,10.5
"289",NA,"Edrice Adebayo",2,2,58,29
"290",NA,"Reece Bogan",1,0,12,12
"291",1,"Jalen Cone",1,0,3,3
"292",3,"Phil Baumgartner",1,1,32,32
"293",11,"Gerard Simpkins",1,1,32,32
"294",22,"Evan Tebay",1,1,15,15
"295",25,"Lance Tebay",1,1,32,32
"296",55,"Onyx Boyd",1,1,18,18
"297",1,"Jason Ford",1,0,7,7
"298",2,"Amir Nesbitt",1,0,8,8
"299",12,"Jahvon John",1,0,14,14
"300",13,"Jacob Sobers",1,0,2,2
"301",5,"David Jean-Baptiste",3,2,60,20
"302",20,"Dewan Huell",3,2,81,27
"303",12,"Tyrik Waite",2,2,41,20.5
"304",1,"Kennith Rolle",2,0,28,14
"305",10,"Jonathan Andre",2,2,35,17.5
"306",22,"Trevoris Waugh",2,1,29,14.5
"307",24,"Tevin Jones",2,0,21,10.5
"308",33,"Reece Wilkerson",2,0,5,2.5
"309",35,"Ernel Foster",2,0,31,15.5
"310",44,"Immanuel West",2,0,12,6
"311",4,"Caron Raye",1,0,12,12
"312",11,"Matthew Huson",1,0,12,12
"313",5,"Milan Acquaah",1,0,0,0
"314",23,"Kevin Knox",22,1,33,1.5
"315",3,"Thomas Dziagwa",15,1,32,2.1
"316",1,"Jessy St. Marc",5,1,30,6
"317",21,"Tai Strickland",5,1,28,5.6
"318",20,"Bentlee Sanders",2,0,4,2
"319",0,"Darren Robinson",1,0,20,20
"320",4,"Dylan Wood",1,0,4,4
"321",15,"Austin Speck",1,0,2,2
"322",24,"Nick Giorgi",1,1,8,8
"323",33,"Ahmad Everett",1,0,1,1
"324",14,"Thon Maker",1,1,0,0
"325",0,"Dontae Mitchell",1,1,0,0
"326",1,"Quinton Gray",1,1,0,0
"327",NA,"James Lewis",1,1,18,18
"328",NA,"Nate Hinton",1,1,29,29
"329",NA,"Colton Cashaw",1,1,32,32
"330",NA,"Donovan Gregory",1,0,18,18
"331",5,"Isaiah Best",1,1,10,10
"332",NA,"Coleman Blakenship",1,1,10,10
"333",1,"Chris Martin",1,0,17,17
"334",NA,"Evan Umstead",1,0,3,3
"335",14,"MIchael McKoy",1,0,5,5
"336",20,"Martin Maide",1,0,14,14
"337",21,"Marcus Plait",1,0,4,4
"338",NA,"Mike Okauru",1,1,31,31
"339",35,"Ian Dubose",1,1,27,27
"340",NA,"Douglas Elks",1,0,15,15
"341",NA,"PJ Stephens",1,1,25,25
"342",11,"Andrew Ejiofor",1,1,28,28
"343",22,"Tommy Corchiani",1,1,25,25
"344",20,"Nate Cohen",1,0,3,3
"345",42,"Johnny McNeill",1,0,3,3
"346",40,"Jake Van Der Heijden",1,0,3,3
"347",NA,"Marquis Godwin",1,0,17,17
"348",NA,"John Fulkerson",1,0,26,26
"349",NA,"Christian Nichola",1,0,9,9
"350",NA,"Zach Reeves",1,1,15,15
"351",2,"Williams Fleming",1,1,20,20
"352",10,"James West",1,1,22,22
"353",11,"Matt Halvorson",1,1,20,20
"354",NA,"Seth Scott",1,0,1,1
"355",1,"Justin Rhode",1,0,12,12
"356",4,"Morgan McKay",1,0,15,15
"357",12,"Jacob Conerly",1,0,3,3
"358",15,"Steven Rwahwire",1,1,21,21
"359",1,"Daniel Sackey",1,1,31,31
"360",30,"Wheza Panzo",1,1,31,31
"361",43,"Olawale Odofin",1,1,12,12
"362",10,"James Shodimu",1,0,16,16
"363",33,"Raymond Smith",1,0,16,16
"364",44,"Uglijesa Portic",1,0,11,11
"365",52,"Tony Chukwuemeke",1,0,14,14
"366",54,"Ousmane Ndim",1,1,12,12
"367",33,"Nick Claxton",3,3,85,28.3
"368",50,"Tyrell Mendenhall",3,0,22,7.3
"369",32,"Jashaun Smith",3,3,89,29.7
"370",24,"Miguel Priest",3,3,71,23.7
"371",12,"Mohamed Touray",3,3,89,29.7
"372",22,"Deshaun Leftwich",3,0,37,12.3
"373",3,"Iziah James",3,3,80,26.7
"374",23,"Anthony Slaton",2,0,15,7.5
"375",21,"CJ Jamison",2,0,2,1
"376",40,"Darrion Clinton",1,0,7,7
"377",4,"Abdulhakim Ado",2,2,57,28.5
"378",12,"Therren Shelton-Szmidt",2,2,62,31
"379",22,"Shai Gilgeous-Alexander",2,2,66,33
"380",15,"Nickeil Alexander-Walker",2,1,66,33
"381",24,"Ezekiel Balogun",2,0,23,11.5
"382",33,"Silas Adheke",2,2,51,25.5
"383",1,"Mohammed Abubakar",1,0,12,12
"384",21,"CJ Massengill",1,0,2,2
"385",NA,"Anthony Cowan",1,1,31,31
"386",NA,"Jeffrey Dowtin Jr.",1,0,30,30
"387",NA,"Kylia Sykes",1,0,20,20
"388",23,"Martins Igbanu",1,0,0,0
"389",NA,"Bruno Solomun",1,1,29,29
"390",NA,"Nick Evtimov",1,1,27,27
"391",NA,"Tripp  Green",1,1,24,24
"392",NA,"Matty Edwards",1,1,24,24
"393",15,"Brandon Long",1,1,26,26
"394",3,"Grant Cain",1,0,13,13
"395",11,"Chase Walter",1,0,1,1
"396",20,"Ivan Millcevic",1,0,12,12
"397",24,"Jalen Singleton",1,0,4,4
"398",5,"Jalen Harris",1,0,0,0
"399",20,"Rawle Alkins",1,0,0,0
"400",1,"Marcus Ottey",2,0,74,37
"401",13,"Jordan Blount",2,0,59,29.5
"402",14,"Aldas Kavaliauskas",2,0,55,27.5
"403",25,"Tyrell Gumbs-Frater",2,0,37,18.5
"404",45,"Marko Cuze",2,0,49,24.5
"405",20,"Nick Korniek",2,0,14,7
"406",31,"Matthias Kelly",2,0,38,19
"407",32,"Babacar Cisse",2,0,8,4
"408",34,"Yalim Olcay",2,0,37,18.5
"409",2,"Marcell Haskett",1,0,3,3
"410",22,"Biel Lianso",1,0,1,1
"411",10,"Kajon Gordon-Stephen",1,0,3,3
"412",21,"Eskor Edem",1,0,21,21
"413",NA,"Maciej Bender",1,1,23,23
"414",NA,"Harold Baruti",1,1,29,29
"415",NA,"Keshon Montague",1,1,21,21
"416",NA,"Jakub Mijakowski",1,0,12,12
"417",NA,"Jethro Tshisumpa",1,1,22,22
"418",24,"Diogo Brito",1,1,19,19
"419",1,"Symon Walczak",1,0,17,17
"420",3,"Florent Thamba",1,0,5,5
"421",5,"Bikum Biyambo",1,0,2,2
"422",23,"Nathan Mepandy",1,0,11,11
"423",1,"Roman Young",6,3,17,2.8
"424",12,"Bryan Trimble",5,3,22,4.4
"425",10,"Radshad Davis",4,3,17,4.2
"426",24,"Derrick Walker",3,3,17,5.7
"427",3,"GJ Rolle",3,0,2,0.7
"428",11,"Jonah Antonio",2,0,2,1
"429",2,"Khameron Davis",2,0,0,0
"430",22,"Isiah Jasey",1,0,13,13
"431",33,"Charles Bain",1,0,8,8
"432",21,"Kameron  McGusty",1,0,24,24
"433",42,"Matt Harms",1,0,10,10
"434",22,"Jamil Wilson",1,1,28,28
"435",14,"Brian Alvey",1,1,26,26
"436",5,"Clivonte Patterson",1,1,13,13
"437",NA,"Sidney Wilson",1,1,31,31
"438",3,"Payton Pritchard",5,4,161,32.2
"439",1,"Jaydon Grant",4,2,131,32.8
"440",22,"Brooks DeBisschop",3,3,85,28.3
"441",23,"Tate Hoffman",3,1,82,27.3
"442",13,"Will Mathiessen",3,1,93,31
"443",15,"Nathan Dombrow",1,1,0,0
"444",10,"Colin Shearmire",1,0,14,14
"445",11,"Tim Tawa",1,0,1,1
"446",24,"Jake Perkins",1,0,1,1
"447",30,"Jaylen Thompson",1,0,4,4
"448",NA,"De'Aaron Fox",1,0,0,0
"449",NA,"Trevon Duval",3,1,32,10.7
"450",NA,"Terrance Ferguson",3,0,30,10
"451",NA,"Robert Brown",2,0,5,2.5
"452",NA,"Mark Vital",2,1,28,14
"453",NA,"Billy Preston",2,1,27,13.5
"454",NA,"Nysier Brooks",2,1,22,11
"455",NA,"Terrell McGee",2,0,7,3.5
"456",NA,"Steven Jordan",1,0,0,0
"457",NA,"Elijah Elliott",1,0,4,4
"458",11,"Malik Curry",1,0,1,1
"459",20,"Jalen Henry",1,0,1,1
"460",2,"Jarred Vanderbilt",1,0,0,0
"461",15,"Frank Jackson",1,0,0,0
"462",NA,"Gabriel Osabuohien",1,0,0,0
"463",NA,"Shakur Daniel",1,0,0,0
"464",NA,"Rasir Bolton",1,0,0,0
"465",NA,"VJ King",3,1,29,9.7
"466",NA,"Brandon Slater",3,1,27,9
"467",NA,"Anthony Harris",3,0,15,5
"468",NA,"Corey Manigault",2,1,28,14
"469",NA,"Myles Douglas",2,1,22,11
"470",NA,"Vincent Lee",1,0,8,8
"471",NA,"Aaron Thompson",1,1,27,27
"472",0,"Chris Lykes",1,0,0,0
"473",NA,"Sam Hauser",1,1,0,0
"474",NA,"Joey Hauser",1,1,0,0
"475",NA,"Trevor Anderson",1,1,0,0
"476",NA,"Sam Cunliffe",2,1,29,14.5
"477",NA,"Keith Smith",1,1,28,28
"478",NA,"Kendall Williams",1,1,1,1
"479",NA,"Kevin Porter Jr.",1,1,31,31
"480",NA,"Khalil Shabazz",1,1,23,23
"481",NA,"Marquis Gurski",1,0,19,19
"482",NA,"Nkeil Nelson",1,1,16,16
"483",NA,"Travis Washington",1,0,9,9
"484",NA,"Tijon Rodde",1,0,5,5
"485",5,"Malik Monk",1,0,0,0
"486",2,"Lonzo Ball",4,4,100,25
"487",1,"LaMelo Ball",3,3,84,28
"488",0,"Elizjah Scott",3,3,87,29
"489",3,"LiAngelo Ball",3,3,100,33.3
"490",21,"Onyeka Okongwu",3,3,89,29.7
"491",5,"Andre Ball",1,0,12,12
"492",20,"Cameron Shelton",1,0,12,12
"493",20,"De'ron Davis",2,0,0,0
"494",NA,"Jervae Robinson",1,0,0,0
"495",NA,"Tyler Polley",2,0,0,0
"496",NA,"Luis Hurtado",1,0,0,0
"497",NA,"Koch Bar",2,2,48,24
"498",NA,"Alonzo Verge Jr.",2,0,23,11.5
"499",NA,"Luguentz Dort",2,2,42,21
"500",NA,"Damir Hedzic",2,2,29,14.5
"501",NA,"Ty Gadsden",2,2,39,19.5
"502",NA,"Alston Davis",2,2,31,15.5
"503",NA,"Danya Kingsby",2,0,30,15
"504",NA,"Justin Route",2,0,25,12.5
"505",NA,"Essam Tame Mostafa",2,0,5,2.5
"506",NA,"Donovan Dean",1,0,1,1
"507",NA,"Jared Dougherty",1,0,6,6
"508",NA,"Fotis Malelis",1,0,5,5
"509",NA,"Diondre Williams",1,0,6,6
"510",NA,"Vincent Vent",1,0,9,9
"511",NA,"Sehill Mouliom",1,0,15,15
"512",35,"Udoka Azubuike",1,0,27,27
"513",1,"DJ Russell",1,0,21,21
"514",3,"Mike McDougal",1,0,19,19
"515",23,"Ricquail Smoot",1,0,18,18
"516",NA,"Darius Days",1,0,0,0
"517",NA,"Chaundee Brown",3,2,76,25.3
"518",22,"Malik William",3,2,81,27
"519",1,"Cole DenBesten",2,2,54,27
"520",4,"Greg Summers",2,2,46,23
"521",13,"Elijah Jordan",2,2,63,31.5
"522",2,"Rahsaan Lewis",1,0,1,1
"523",5,"Daniel West",1,0,1,1
"524",11,"Isaiah Richardson",1,0,5,5
"525",12,"Jonah Baker",1,0,7,7
"526",32,"Tre Johnson",1,0,11,11
"527",NA,"Tony Bradley",5,5,143,28.6
"528",NA,"Justin Serrano",3,3,72,24
"529",NA,"TJ Harvin",2,2,58,29
"530",NA,"Timothy Jordan",2,2,57,28.5
"531",NA,"William Craig",2,1,36,18
"532",NA,"Christopher Butler",1,1,4,4
"533",NA,"Kamel Smith",1,0,20,20
"534",NA,"Travion Hodge",1,0,13,13
"535",NA,"Jalon Borders",1,0,1,1
"536",3,"Alterique Gilbert",1,0,0,0
"537",NA,"Nick Rakocevic",1,1,32,32
"538",NA,"Joffari Brown",1,1,31,31
"539",NA,"Marquise Walker",1,1,26,26
"540",4,"Devearl Ramsey",2,2,29,14.5
"541",10,"Hunter Bleeden",2,0,4,2
"542",13,"Michael Feinberg",2,0,19,9.5
"543",5,"Adam Seiko",1,1,21,21
"544",2,"Cody Riley",1,1,26,26
"545",33,"Joe Wallace",1,0,14,14
"546",11,"Kohl Hollinquest",1,0,1,1
"547",1,"Remy Martin",1,1,25,25
"548",3,"Terrance McBride",1,1,20,20
"549",21,"William Washington",1,0,2,2
"550",NA,"Bourama Sidibe",1,1,24,24
"551",NA,"Arnaldo Toro",1,1,31,31
"552",NA,"James Scott",1,1,29,29
"553",NA,"David Beatty",1,1,31,31
"554",NA,"Jayden Saddler",1,1,25,25
"555",NA,"Warren Williams",1,0,9,9
"556",NA,"Damon Wall",1,0,11,11
"557",NA,"Kobi Simmons",2,2,45,22.5
"558",3,"Anthony Showell",2,2,51,25.5
"559",NA,"Chance Anderson",1,1,21,21
"560",NA,"Darius Perry",3,2,80,26.7
"561",NA,"Cam Jordan",3,2,76,25.3
"562",NA,"Makhai Eastmond",3,2,76,25.3
"563",NA,"Romello White",3,2,82,27.3
"564",NA,"Al-Wajid Aminu",3,2,73,24.3
"565",NA,"Kenny Aninye",2,0,48,24
"566",NA,"Rodolzo Lewis",2,0,8,4
"567",NA,"Khalil Hawkins",1,0,1,1
"568",NA,"Reikan Donaldson",1,0,6,6
"569",NA,"Sam Jackson",1,0,2,2
"570",NA,"Rasheed Browne",3,1,31,10.3
"571",NA,"Dhamir Cosy-Roundtree",2,1,15,7.5
"572",NA,"Zane Martin",2,1,26,13
"573",NA,"Emil Moody",1,0,14,14
"574",NA,"Vaughn Covington",1,1,28,28
"575",NA,"Quade Green",1,1,31,31
"576",NA,"Noah Warren",1,0,1,1
"577",11,"Josh Jackson",1,0,0,0
"578",2,"Pierre Crockrell II",1,0,0,0
"579",12,"LJ Figueroa",4,3,50,12.5
"580",1,"Troy Baxter",3,2,63,21
"581",2,"Eric Hester",2,2,58,29
"582",5,"Elijah Weaver",2,2,49,24.5
"583",20,"Jerome Merritt",2,1,32,16
"584",13,"Dontay Bassett",2,1,43,21.5
"585",10,"Carlos Acevedo",2,0,14,7
"586",NA,"Antwann Jones",2,0,29,14.5
"587",24,"Jhakheem Smith",1,0,2,2
"588",0,"Markus Howard",2,1,21,10.5
"589",3,"Carlos Johnson",1,1,18,18
"590",11,"O'Shae Brissett",1,0,20,20
"591",4,"Skylar Mays",1,1,20,20
