"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"1",10,"Andre Banton",2,0,26,13,3,3,10,0.3,0,0,0,0,2,0,6,4,2,1,3,4,4,2,3,1.5,0,0,0,0,2,1,0
"2",11,"Hudson Urbanus",2,0,38,19,8.5,6,16,0.375,0,0,0,5,12,0.417,17,11,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",20,"Jahmai George",2,0,31,15.5,0,0,6,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,2,1,2,1,0,0,1,0.5,5,2.5,0
"4",21,"Charles Minlend",2,0,55,27.5,12.5,10,30,0.333,2,4,0.5,3,9,0.333,25,15,2.5,0,5,5,3,1.5,3,1.5,2,1,0,0,2,1,0
"5",22,"Josh Brown",2,0,49,24.5,8.5,5,12,0.417,4,9,0.444,3,9,0.333,17,11,2,1,3,4,1,0.5,2,1,1,0.5,1,0.5,4,2,0
"6",24,"Lewis Freeman",2,0,49,24.5,10.5,8,15,0.533,0,0,0,5,7,0.714,21,13,7,2,12,14,1,0.5,1,0.5,1,0.5,0,0,3,1.5,0
"7",25,"Marcus Larsson",2,0,14,7,5,4,5,0.8,0,0,0,2,3,0.667,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",30,"Corey Douglas",2,0,52,26,5,5,12,0.417,0,2,0,0,0,0,10,6,9,9,9,18,4,2,2,1,1,0.5,1,0.5,3,1.5,0
"9",40,"Taylor Sweeney",2,0,30,15,3,2,5,0.4,0,0,0,2,5,0.4,6,6,2.5,1,4,5,1,0.5,1,0.5,0,0,0,0,2,1,0
"10",41,"Grant Clarke",2,0,15,7.5,0,0,2,0,0,0,0,0,2,0,0,0,1.5,1,2,3,1,0.5,0,0,0,0,2,1,3,1.5,0
"11",42,"Malik Kuwornu",2,0,33,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,6,1,0.5,0,0,1,0.5,2,1,6,3,0
"12",43,"Eddie Johnson-Clayton",1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",42,"Malik Kuwornu",1,NA,NA,NA,6,3,9,0.333,0,0,0,0,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20,"Jahmai George",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",25,"Marcus Larsson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,2,2,0,0,0,0,1,1,0
"16",11,"Hudson Urbanus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,1,0,0,2,2,0
"17",1,"Javonte Smart",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,"Javonte Smart",12,NA,NA,NA,23,52,108,0.481,35,39,0.897,31,67,0.463,276,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22,"Jordan Adebutu",5,NA,NA,NA,22,38,63,0.603,16,21,0.762,7,21,0.333,110,30,7.6,13,15,38,19,3.8,4,0.8,11,2.2,1,0.2,4,0.8,0
"20",24,"Garrick Green",4,NA,NA,NA,14,23,37,0.622,9,16,0.562,1,4,0.25,56,18,7.5,14,16,30,4,1,4,1,7,1.8,13,3.2,5,1.2,0
"21",15,"Malik Williams",5,NA,NA,NA,10.2,18,32,0.562,9,9,1,6,12,0.5,51,14,4.6,11,12,23,9,1.8,2,0.4,18,3.6,1,0.2,1,0.2,0
"22",3,"Jaylen Hawkins",3,NA,NA,NA,9.3,10,15,0.667,2,3,0.667,6,9,0.667,28,16,2,3,3,6,7,2.3,3,1,5,1.7,0,0,4,1.3,0
"23",12,"Levi Lewis",3,NA,NA,NA,5,5,10,0.5,4,6,0.667,1,3,0.333,15,8,NA,NA,NA,NA,8,2.7,2,0.7,5,1.7,0,0,3,1,0
"24",23,"Joshua Roberts",2,NA,NA,NA,4.5,4,11,0.364,0,0,0,1,6,0.167,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5,"Lamarq Williams",1,NA,NA,NA,2,1,2,0.5,0,0,0,0,0,0,2,2,5,1,4,5,0,0,1,1,0,0,0,0,1,1,0
"26",1,"Javonte Smart",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6,30,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2,"Bryce Beekman",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",12,"Levi Lewis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",23,"Joshua Roberts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,6,4,4,2,2,3,3,0,0,2,2,0
"30",1,"Javonte Smart",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,5.4,17,1.5,20,1.8,13,1.2,14,1.3,0
"31",1,"Javonte Smart",2,NA,NA,NA,20.5,5,13,0.385,7,8,0.875,0,3,0,41,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",22,"Jordan Adebutu",1,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,"Javonte Smart",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",22,"Jordan Adebutu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,"Javonte Smart",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,1.5,0,0,0,0,4,2,0
"36",22,"Jordan Adebutu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,2,2,0,0,0,0,0
"37",2,"Jandan Duggan",2,0,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",4,"Justin Forrest",2,2,58,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",5,"Precious Ayah",2,2,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",10,"John Ogwuche",2,2,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",12,"Victor Enoh",2,1,56,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",23,"Abayomi Iyiola",2,2,25,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",24,"Mohammed Abdulsalem",2,0,27,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,"Jared Bowens",1,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0
"45",3,"Mitchell Evans",1,0,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",21,"Ikey Obiagu",1,1,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",4,"Justin Forrest",17,NA,NA,NA,22,16,30,0.533,5,7,0.714,4,8,0.5,374,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",10,"John Ogwuche",15,NA,NA,NA,18.1,14,29,0.483,0,1,0,5,12,0.417,271,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",23,"Abayomi Iyiola",10,NA,NA,NA,12.7,5,10,0.5,1,3,0.333,0,0,0,127,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",12,"Victor Enoh",10,NA,NA,NA,9.7,7,18,0.389,1,5,0.2,0,1,0,97,16,9.4,14,21,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",21,"Ikey Obiagu",9,NA,NA,NA,9.6,0,4,0,2,2,1,0,0,0,86,15,7.8,1,2,70,0,0,2,0.2,0,0,63,7,2,0.2,0
"52",5,"Precious Ayah",8,NA,NA,NA,8.5,3,9,0.333,4,5,0.8,0,3,0,68,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",24,"Mohammed Abdulsalem",7,NA,NA,NA,9.1,5,9,0.556,3,5,0.6,0,0,0,64,12,7.3,5,4,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2,"Jandan Duggan",5,NA,NA,NA,8.4,2,3,0.667,0,0,0,2,3,0.667,42,13,NA,NA,NA,NA,11,2.2,3,0.6,0,0,0,0,2,0.4,0
"55",3,"Mitchell Evans",3,NA,NA,NA,9.7,3,7,0.429,3,4,0.75,1,3,0.333,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",10,"John Ogwuche",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",23,"Abayomi Iyiola",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,3,2,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",5,"Precious Ayah",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,5,8,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",4,"Justin Forrest",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2,"Jandan Duggan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",4,"Justin Forrest",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,5.4,8,0.8,7,0.7,0,0,6,0.6,0
"62",10,"John Ogwuche",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,3.7,4,0.4,2,0.2,4,0.4,2,0.2,0
"63",5,"Precious Ayah",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,4,0.7,6,1,17,2.8,8,1.3,0
"64",3,"Mitchell Evans",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,1,0.5,0,0,1,0.5,0
"65",12,"Victor Enoh",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,4,1.3,1,0.3,6,2,6,2,0
"66",23,"Abayomi Iyiola",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.7,2,0.7,5,1.7,3,1,0
"67",24,"Mohammed Abdulsalem",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,1,0.3,2,0.7,2,0.7,0
"68",4,"Justin Forrest",2,NA,NA,NA,18,0,0,0,0,0,0,0,0,0,36,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",23,"Abayomi Iyiola",2,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",10,"John Ogwuche",1,NA,NA,NA,27,0,0,0,0,0,0,0,0,0,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",21,"Ikey Obiagu",2,NA,NA,NA,12.5,0,0,0,0,0,0,0,0,0,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",24,"Mohammed Abdulsalem",1,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",21,"Ikey Obiagu",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",4,"Justin Forrest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",23,"Abayomi Iyiola",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",24,"Mohammed Abdulsalem",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",21,"Ikey Obiagu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,4,0,0,0
"78",1,"Brandon McCarver",1,1,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,6,7,1,1,3,3,0,0,0,0,0,0,0
"79",2,"Brandon Crosby",1,0,20,20,6,2,5,0.4,1,2,0.5,1,2,0.5,6,6,2,0,2,2,3,3,2,2,1,1,0,0,3,3,0
"80",10,"Jarius Grayson",1,1,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,3,7,7,2,2,0,0,0,0,4,4,0
"81",15,"Justin Hopkins",1,1,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,1,0
"82",23,"John Petty",1,1,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"Devonte Lanier",1,1,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,5,5,0,0,0,0,1,1,3,3,3,3,0
"84",23,"John Petty",8,NA,NA,NA,20,3,6,0.5,2,2,1,2,3,0.667,160,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",15,"Justin Hopkins",7,NA,NA,NA,21.1,6,9,0.667,12,18,0.667,0,0,0,148,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1,"Brandon McCarver",3,NA,NA,NA,11.7,5,6,0.833,1,2,0.5,0,0,0,35,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",10,"Jarius Grayson",2,NA,NA,NA,12,3,5,0.6,5,8,0.625,1,1,1,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,"Devonte Lanier",2,NA,NA,NA,9,3,4,0.75,0,0,0,0,0,0,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",15,"Justin Hopkins",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,2,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",23,"John Petty",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",23,"John Petty",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.5,5,2.5,6,3,4,2,4,2,0
"92",2,"Trendon Watford",1,0,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2,"Trendon Watford",11,NA,NA,NA,22.8,29,46,0.63,27,41,0.659,1,6,0.167,251,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1,"Jack Kline",5,NA,NA,NA,13.2,0,0,0,0,0,0,0,0,0,66,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",24,"Ben McCool",3,NA,NA,NA,14.3,0,0,0,0,0,0,0,0,0,43,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",23,"Sean Elmore",1,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2,"Trendon Watford",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,14,23,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1,"Jack Kline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2,"Trendon Watford",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.5,9,2.2,4,1,10,2.5,12,3,0
"100",2,"Trendon Watford",2,NA,NA,NA,19.5,0,0,0,0,0,0,0,0,0,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1,"Jack Kline",2,NA,NA,NA,10.5,0,0,0,0,0,0,0,0,0,21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",24,"Ben McCool",1,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",4,"Nate Williams",2,0,15,7.5,2,2,4,0.5,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",5,"Max Edwards",2,0,10,5,2.5,2,2,1,1,2,0.5,0,0,0,5,3,1.5,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",6,"Jakub Jokl",2,0,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,6,0,0,3,1.5,0,0,0,0,0,0,0
"106",7,"Lars Kroshoff",2,0,26,13,3,2,4,0.5,1,3,0.333,1,3,0.333,6,6,1.5,0,3,3,3,1.5,3,1.5,0,0,0,0,3,1.5,0
"107",8,"Emil Onowasu",2,1,54,27,7.5,4,11,0.364,5,7,0.714,2,4,0.5,15,11,4.5,2,7,9,0,0,4,2,1,0.5,0,0,2,1,0
"108",9,"Alexander Strating",2,0,35,17.5,6,6,13,0.462,0,0,0,0,2,0,12,10,1,0,2,2,0,0,1,0.5,1,0.5,0,0,1,0.5,0
"109",11,"Luca Ngussen",2,0,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,0,0,3,1.5,0,0,0,0,4,2,0
"110",12,"Issa Thiam",2,1,58,29,14.5,11,27,0.407,1,4,0.25,6,16,0.375,29,15,3.5,0,7,7,2,1,2,1,0,0,0,0,5,2.5,0
"111",13,"Ivan Aurecochea",2,1,58,29,15.5,14,21,0.667,2,8,0.25,1,1,1,31,23,9.5,12,7,19,4,2,4,2,0,0,0,0,4,2,0
"112",15,"Karbala Gueye",2,1,33,16.5,4.5,3,6,0.5,3,4,0.75,0,0,0,9,5,6,4,8,12,2,1,1,0.5,1,0.5,1,0.5,6,3,0
"113",22,"Serguy Primak",2,1,60,30,9,6,11,0.545,4,5,0.8,2,3,0.667,18,12,3.5,2,5,7,5,2.5,3,1.5,3,1.5,1,0.5,3,1.5,0
"114",10,"Daan Viannen",1,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"115",23,"Javier Menedez",1,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0
"116",34,"Milan Stakic",1,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",11,"Luca Ngussen",1,NA,NA,NA,4,2,2,1,0,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",6,"Jakub Jokl",1,NA,NA,NA,1,0,0,0,1,2,0.5,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",4,"Nate Williams",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
"120",5,"Max Edwards",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,3,0
"121",34,"Milan Stakic",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,0,0,1,0.5,0
"122",1,"John Sessums",1,1,20,20,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0
"123",5,"Bernard Jones",1,1,25,25,5,1,6,0.167,3,4,0.75,0,0,0,5,5,7,1,6,7,1,1,3,3,1,1,1,1,2,2,0
"124",12,"Jalen Matthews",1,1,30,30,11,5,6,0.833,0,0,0,1,1,1,11,11,4,0,4,4,2,2,2,2,2,2,3,3,2,2,0
"125",14,"Jaylen Johnson",1,1,33,33,15,5,16,0.312,3,6,0.5,2,6,0.333,15,15,6,2,4,6,2,2,2,2,1,1,1,1,2,2,0
"126",15,"Robert Guyton",1,1,24,24,11,4,8,0.5,0,0,0,3,6,0.5,11,11,2,1,1,2,0,0,4,4,1,1,0,0,2,2,0
"127",10,"Jay Williams",1,0,11,11,3,1,3,0.333,0,0,0,1,2,0.5,3,3,NA,NA,NA,NA,0,0,2,2,0,0,0,0,0,0,0
"128",24,"Mike Green",1,0,17,17,10,3,8,0.375,2,2,1,2,5,0.4,10,10,4,0,4,4,3,3,5,5,0,0,0,0,0,0,0
"129",NA,"Shamorie Ponds",3,2,94,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,"Curtis Smith",3,3,82,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,9,5,1.7,7,2.3,8,2.7,1,0.3,5,1.7,0
"131",NA,"Rasheen Dunn",2,1,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3,12,15,11,5.5,10,5,2,1,0,0,4,2,0
"132",NA,"Malachi Faison",1,0,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,3,3,0
"133",NA,"KeRome Grant",1,1,8,8,4,2,3,0.667,0,0,0,0,0,0,4,4,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0
"134",NA,"Marquis Watson",1,0,25,25,8,3,6,0.5,1,1,1,1,2,0.5,8,8,2,0,2,2,3,3,2,2,0,0,2,2,3,3,0
"135",NA,"Jamorie Lewis",1,0,3,3,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"136",NA,"Tyrie Mitchell",1,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,"Deante Bridgett",1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,"Jordan Morgan",1,0,5,5,2,1,3,0.333,0,0,0,0,0,0,2,2,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,"Eric Massingale",1,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0
"140",NA,"Shamorie Ponds",6,NA,NA,NA,32,37,71,0.521,16,17,0.941,11,28,0.393,192,44,4.8,3,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,"Curtis Smith",4,NA,NA,NA,17.2,20,43,0.465,6,6,1,9,21,0.429,69,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,"Rasheen Dunn",4,NA,NA,NA,16.5,11,24,0.458,5,7,0.714,5,7,0.714,66,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,"Malachi Faison",2,NA,NA,NA,9,6,12,0.5,0,1,0,0,0,0,18,12,19,7,10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,"Shamorie Ponds",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4.2,8,1.6,9,1.8,2,0.4,6,1.2,0
