"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"3107",NA,"Christian PoPoola",1,1,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3108",NA,"Jamal Bey",1,1,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,0,0,2,2,0,0,0,0,1,1,0
"3109",30,"Travis Rice",1,1,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,1,1,2,2,1,1,0,0,2,2,0
"3110",22,"Byron Frohnen",1,0,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,7,4,4,2,2,1,1,0,0,3,3,0
"3111",13,"Ryan Kiley",1,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3112",0,"Jarrett Jordan",1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0
"3113",NA,"Saxton Howard",1,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,0,0,3,3,0
"3114",5,"Charles O'Bannon",11,NA,NA,NA,19.5,18,26,0.692,12,12,1,0,0,0,215,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3115",12,"Zach Collins",12,NA,NA,NA,16.7,5,9,0.556,12,17,0.706,0,0,0,200,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3116",NA,"Christian PoPoola",11,NA,NA,NA,15.9,2,11,0.182,2,2,1,5,5,1,175,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3117",22,"Byron Frohnen",6,NA,NA,NA,7.5,3,8,0.375,0,0,0,0,0,0,45,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3118",13,"Ryan Kiley",7,NA,NA,NA,6.1,1,3,0.333,0,0,0,1,3,0.333,43,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3119",NA,"Chase Noma'aea",5,NA,NA,NA,7.8,0,0,0,0,0,0,0,0,0,39,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3120",30,"Travis Rice",4,NA,NA,NA,3.8,0,3,0,0,0,0,0,2,0,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3121",NA,"Jamal Bey",4,NA,NA,NA,2.8,1,2,0.5,0,0,0,1,2,0.5,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3122",NA,"Saxton Howard",4,NA,NA,NA,2.5,0,1,0,0,0,0,0,0,0,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
