"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
18,"Kameron Edwards","PF","Etiwanda, CAEtiwanda High School","6'6''",210,75,"Pepperdine","kameron-edwards","https://www.sports-reference.com/cbb/players/kameron-edwards-1.html","https://www.sports-reference.com/cbb/players/kameron-edwards-1.html","Kameron Edwards","        Forward  ","6-6, 230lb (198cm, 104kg) ","   Rancho Cucamonga, CA","   Etiwanda HS","Pepperdine"
20,"Cameron Walker","SF","Santa Maria, CAErnest Righetti High School","6'7''",190,73,"Stanford","cameron-walker","https://www.sports-reference.com/cbb/players/cameron-walker-1.html","https://www.sports-reference.com/cbb/players/cameron-walker-1.html","Cameron Walker","        Forward  ","6-7, 200lb (201cm, 90kg) ","   Santa Maria, CA","   Righetti HS","Stanford"
24,"Tommy McCarthy","PG","Carlsbad, CALa Costa Canyon High School","6'0''",155,70,"Harvard","tommy-mccarthy","https://www.sports-reference.com/cbb/players/tommy-mccarthy-1.html","https://www.sports-reference.com/cbb/players/tommy-mccarthy-1.html","Tommy McCarthy","        Guard  ","6-0, 175lb (183cm, 79kg) ","   Rancho Santa Fe, CA","   La Costa Canyon","Harvard"
25,"Anthony Townes","PF","Modesto, CAModesto Christian High School","6'5''",205,69,"Pacific","anthony-townes","https://www.sports-reference.com/cbb/players/anthony-townes-1.html","https://www.sports-reference.com/cbb/players/anthony-townes-1.html","Anthony Townes","        Forward  ","6-6, 215lb (198cm, 97kg) ","   Modesto, CA","   Modesto Christian HS","Pacific"
26,"Jordan Naughton","C","Rancho Cucamonga, CAEtiwanda High School","6'9''",220,69,"Wyoming","jordan-naughton","https://www.sports-reference.com/cbb/players/jordan-naughton-1.html","https://www.sports-reference.com/cbb/players/jordan-naughton-1.html","Jordan Naughton","        Forward  ","6-10, 234lb (208cm, 106kg) ","   Rancho Cucamonga, CA","   Etiwanda HS","Wyoming"
30,"Gligorije Rakocevic","C","Montebello, CACantwell Sacred Heart Of Mary High School","6'10''",250,69,"Oregon St","gligorije-rakocevic","https://www.sports-reference.com/cbb/players/gligorije-rakocevic-1.html","https://www.sports-reference.com/cbb/players/gligorije-rakocevic-1.html","Gligorije Rakocevic","        Center  ","6-11, 255lb (211cm, 115kg) ","   Bijelo Polje, Montenegro","   Cantwell-Sacred Heart of Mary HS","Oregon State"
31,"Michael Oguine","PG","Reseda, CAChaminade College Prep","6'0''",160,69,"Montana","michael-oguine","https://www.sports-reference.com/cbb/players/michael-oguine-1.html","https://www.sports-reference.com/cbb/players/michael-oguine-1.html","Michael Oguine","        Guard  ","6-2, 171lb (188cm, 77kg) ","   Los Angeles, CA","   Chaminade Prep HS","Montana"
33,"Noah Blackwell","PG","Roseville, CAWoodcreek High School","6'1''",175,69,"Long Beach St","noah-blackwell","https://www.sports-reference.com/cbb/players/noah-blackwell-1.html","https://www.sports-reference.com/cbb/players/noah-blackwell-1.html","Noah Blackwell","        Guard  ","6-3, 190lb (190cm, 86kg) ","   Roseville, CA","   Woodcreek HS","Schools: Long Beach State and Fresno State"
34,"New Williams","SG","Santa Monica, CASanta Monica High School","6'2''",165,69,"Auburn","new-williams","https://www.sports-reference.com/cbb/players/new-williams-1.html","https://www.sports-reference.com/cbb/players/new-williams-1.html","New Williams","        Guard  ","6-1, 175lb (185cm, 79kg) ","   Inglewood, CA","   Santa Monica HS","Schools: Auburn and Fresno State"
36,"Roman Davis","SF","Los Angeles, CAWindward School","6'6''",165,68,"California","roman-davis","https://www.sports-reference.com/cbb/players/roman-davis-1.html","https://www.sports-reference.com/cbb/players/roman-davis-1.html","Roman Davis","        Forward  ","6-7, 210lb (201cm, 95kg) ","   Carson, CA","   Windward HS","California"
