"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"13","Lonnie Walker","SG","Reading, PAReading High School","6'4''","206","93","Miami","lonnie-walker","https://www.sports-reference.com/cbb/players/lonnie-walker-1.html"
"14","Brian Bowen","SF","Saginaw, MILa Lumiere School","6'7''","195","93","Louisville","brian-bowen","https://www.sports-reference.com/cbb/players/brian-bowen-1.html"
"15","Troy Brown Jr.","SF","Las Vegas, NVCentennial High School","6'7''","215","93","Oregon","troy-brownjr","https://www.sports-reference.com/cbb/players/troy-brownjr-1.html"
"16","Brandon McCoy","C","San Diego, CACathedral Catholic High School","6'11''","244","93","UNLV","brandon-mccoy","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html"
"17","Nick Richards","C","Queens, NYThe Patrick School","6'11''","239","93","Kentucky","nick-richards","https://www.sports-reference.com/cbb/players/nick-richards-1.html"
"18","Billy Preston","PF","Los Angeles, CAOak Hill Academy","6'10''","230","93","Kansas","billy-preston","https://www.sports-reference.com/cbb/players/billy-preston-1.html"
"19","Jarred Vanderbilt","PF","Houston, TXVictory Prep Academy","6'8''","200","93","Kentucky","jarred-vanderbilt","https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html"
"20","Jaylen Hands","PG","San Diego, CAFoothills Christian High School","6'3''","170","93","UCLA","jaylen-hands","https://www.sports-reference.com/cbb/players/jaylen-hands-1.html"
"21","Nickeil Alexander-Walker","SG","Toronto, Ontario, CANHamilton Heights Christian Academy","6'5''","195","93","Virginia Tech","nickeil-alexander-walker","https://www.sports-reference.com/cbb/players/nickeil-alexander-walker-1.html"
"22","John Petty","SG","Huntsville, ALJemison High School","6'5''","185","93","Alabama","john-petty","https://www.sports-reference.com/cbb/players/john-petty-1.html"
"23","Trae Young","PG","Norman, OKNorman North High School","6'2''","170","93","Oklahoma","trae-young","https://www.sports-reference.com/cbb/players/trae-young-1.html"
"24","Quade Green","PG","Philadelphia, PANeumann-Goretti High School","6'1''","170","92","Kentucky","quade-green","https://www.sports-reference.com/cbb/players/quade-green-1.html"
"25","Jontay Porter","PF","Seattle, WANathan Hale High School","6'10''","240","92","Missouri","jontay-porter","https://www.sports-reference.com/cbb/players/jontay-porter-1.html"
"26","Kris Wilkes","SF","Indianapolis, INNorth Central High School","6'7''","194","92","UCLA","kris-wilkes","https://www.sports-reference.com/cbb/players/kris-wilkes-1.html"
"27","M.J. Walker","SG","Jonesboro, GAJonesboro High School","6'5''","207","92","Florida St","mj-walker","https://www.sports-reference.com/cbb/players/mj-walker-1.html"
"28","Jalek Felton","SG","Mullins, SCGray Collegiate Academy","6'3''","180","91","N Carolina","jalek-felton","https://www.sports-reference.com/cbb/players/jalek-felton-1.html"
"29","Malik Williams","PF","Fort Wayne, INR. Nelson Snider High School","6'11''","215","90","Louisville","malik-williams","https://www.sports-reference.com/cbb/players/malik-williams-1.html"
"30","Charles O'Bannon Jr.","SF","Las Vegas, NVBishop Gorman High School","6'6''","200","90","USC","charles-obannonjr","https://www.sports-reference.com/cbb/players/charles-obannonjr-1.html"
"31","Matt Coleman","PG","Norfolk, VAOak Hill Academy","6'1''","174","89","Texas","matt-coleman","https://www.sports-reference.com/cbb/players/matt-coleman-1.html"
"32","Paul Scruggs","PG","Indianapolis, INProlific Prep","6'3''","190","89","Xavier","paul-scruggs","https://www.sports-reference.com/cbb/players/paul-scruggs-1.html"
"33","Chaundee Brown","SG","Orlando, FLFirst Academy","6'5''","208","89","Wake Forest","chaundee-brown","https://www.sports-reference.com/cbb/players/chaundee-brown-1.html"
